camera,id,secret,server,farm,exposure,aperture,iso,date-taken,focal-length,color,daily-project-active
Sony ILCE-7,34172147325,5536d5ae70,2935,3,1/5000,null,400,2017:04:15 16:48:51,null,#202725,
Sony ILCE-7,33907669046,ef217baf90,2881,3,1/3200,null,200,2017:04:09 17:22:54,null,#1e231f,
Sony ILCE-7,33105162564,1dd2638b54,2948,3,1/2500,null,200,2017:04:09 17:20:56,null,#28312b,
Sony ILCE-7,33907674576,e52f6775c1,2906,3,1/8000,null,200,2017:04:09 15:54:53,null,#9cb7be,
Sony ILCE-7,33105173674,2488c4471f,2849,3,1/8000,null,200,2017:04:09 15:08:35,null,#acb9ca,
Sony ILCE-7,34131493896,4c5c83269a,2877,3,1/320,null,800,2017:03:31 18:16:43,null,#333a46,
Sony ILCE-7,32836794743,153d70479b,2922,3,1/800,null,400,2017:03:25 14:57:08,null,#b2b6a1,
Sony ILCE-7,33493047036,9ff64ab68b,2824,3,1/50,null,4000,2017:03:17 22:03:00,null,#ac9493,
Sony ILCE-7,33150497190,9ea551c555,2932,3,1/125,null,2000,2017:03:17 20:53:42,null,#a87570,
Sony ILCE-7,33534254265,384bb7f85b,2908,3,1/250,null,200,2017:03:17 17:47:27,null,#bea18c,
Sony ILCE-7,33005164562,735df0f3ba,2946,3,1/160,null,200,2017:02:25 16:58:17,null,#212121,
Sony ILCE-7,32778787130,e0bfbec6b9,752,1,1/160,null,200,2017:02:25 16:57:48,null,#b9aca8,
Sony ILCE-7,33161566995,a28d54dfe0,2921,3,1/640,null,1600,2017:02:25 13:45:06,null,#8c949c,
Sony ILCE-7,32058387173,5ed80378ab,2901,3,1/200,null,3200,2017:02:11 19:57:10,null,#c6a390,
Sony ILCE-7,32491826880,bfe74721ac,653,1,1/200,null,3200,2017:02:11 19:54:54,null,#ca8e71,
Sony ILCE-7,32058444423,4bc5986dc1,654,1,1/400,null,4000,2017:02:11 18:41:14,null,#171410,
Sony ILCE-7,32397988390,df1fea4b9d,495,1,1/100,1.8,800,2017:02:04 17:54:44,55 mm,#182336,
Sony ILCE-7,31934996444,ac285f3148,603,1,1/400,7.1,100,2017:02:04 16:44:32,55 mm,#1d2323,
Sony ILCE-7,32624792522,cce62949a4,731,1,1/125,9,100,2017:02:04 14:57:06,55 mm,#c0cfd7,
Sony ILCE-7,32476693685,c8e5b5f7af,636,1,1/800,null,200,2017:01:22 13:29:18,null,#c9c0be,
Sony ILCE-7,31590632374,2062c667f3,584,1,1/320,1.8,1600,2017:01:19 21:52:15,55 mm,#b8a5ad,
Sony ILCE-7,32393914986,c5d1e8f012,692,1,1/40,1.8,1600,2017:01:19 21:15:59,55 mm,#c6bbb2,
Sony ILCE-7,32321571126,fffc812769,301,1,1/400,5,500,2017:01:16 17:10:06,55 mm,#b6a89a,
Sony ILCE-7,31549509683,7c3f9ecc75,321,1,1/640,8,400,2017:01:16 16:25:00,55 mm,#9c9793,
Sony ILCE-7,31622073023,0dc29f37ed,450,1,1/100,14,200,2017:01:16 16:20:33,55 mm,#b25d2f,
Sony ILCE-7,33005160352,c7171c07aa,3830,4,1/320,1.8,1600,2016:12:07 19:35:11,55 mm,#d0a17e,
Sony ILCE-7,30645546643,7cd2cf8c13,5611,6,1/400,2.5,800,2016:12:04 17:05:51,55 mm,#26282d,
Sony ILCE-7,31082996300,5f080bf8e0,5503,6,1/500,4,640,2016:12:04 16:52:19,55 mm,#989797,
Sony ILCE-7,30719975001,e64e5cb0f0,5683,6,1/50,1.8,1250,2016:10:27 20:24:52,55 mm,#c48b5f,
Sony ILCE-7,30176828274,e594aa4408,5339,6,1/125,1.8,3200,2016:10:27 18:22:24,55 mm,#c4b7b0,
Sony ILCE-7,30298174396,f6f0f98fe3,5545,6,1/60,1.8,800,2016:10:13 18:09:58,55 mm,#c6c6c6,
Sony ILCE-7,28940806541,306fe2c2bf,7562,8,1/500,1.8,800,2016:07:27 19:00:08,55 mm,#c7b3aa,
Sony ILCE-7,27810084793,defbf028df,7714,8,1/200,1.8,2500,2016:07:14 22:33:44,55 mm,#b47aa8,
Sony ILCE-7,28321309952,d2a1b0288b,8220,9,1/640,1.8,5000,2016:07:14 22:14:38,55 mm,#aaaaaa,
Sony ILCE-7,27766291574,d1162b8f7d,8435,9,1/100,1.8,5000,2016:07:14 21:11:47,55 mm,#b58e4f,
Sony ILCE-7,28940816911,19efc2ced0,8182,9,1/60,1.8,6400,2016:07:14 21:08:34,55 mm,#b88a65,
Sony ILCE-7,28730549990,bd319e810b,8680,9,1/500,1.8,8000,2016:07:14 20:49:39,55 mm,#121c19,
Sony ILCE-7,28349371096,816b693d69,7513,8,1/250,1.8,6400,2016:07:14 20:46:41,55 mm,#af6dbf,
Sony ILCE-7,27766913583,f5daa37ee8,8725,9,1/2500,1.8,3200,2016:07:14 20:30:53,55 mm,#6c6bcd,
Sony ILCE-7,28278622082,21ab203bfe,8453,9,1/400,1.8,3200,2016:07:14 20:30:30,55 mm,#bb5265,
Fujifilm X100T,27382940780,cbea1bc510,7537,8,1/250,5.6,200,2016:06:11 18:23:23,23 mm,#24292a,
Sony ILCE-7,27587048681,a61a607aa4,7184,8,1/60,null,800,2016:06:11 09:35:56,null,#ccbdb0,
Sony ILCE-7,27587057411,b288e81531,7611,8,1/1000,null,1600,2016:06:03 17:46:28,null,#d8bfba,
Sony ILCE-7,26782662694,fb09b0c844,7448,8,1/320,9,400,2016:05:29 12:36:50,55 mm,#766138,
Sony ILCE-7,26782666394,befa9c8d48,7682,8,1/200,null,800,2016:05:26 19:05:17,null,#b2b6b4,
Sony ILCE-7,26604331294,1192e37d4b,7549,8,1/1600,2.2,200,2016:05:22 17:13:59,55 mm,#c1b08e,
Sony ILCE-7,27142082971,9307758284,7179,8,1/2500,1.8,800,2016:05:22 17:08:58,55 mm,#ab9976,
Sony ILCE-7,27211081725,74856d58c2,7457,8,1/250,7.1,200,2016:04:24 10:10:20,55 mm,#c8b89f,
Sony ILCE-7,26129747350,34decc413c,1521,2,1/1250,4,1600,2016:04:12 17:16:34,55 mm,#dddcda,
Sony ILCE-7,26336406771,f5e4c64d21,1626,2,1/250,2.2,640,2016:04:05 18:50:32,55 mm,#111826,
Sony ILCE-7,24943573359,3f4156faa9,1608,2,1/320,1.8,100,2016:02:21 16:51:12,55 mm,#37332c,
Sony ILCE-7,24749545422,bb6a039209,1660,2,1/100,1.8,500,2016:01:31 14:36:19,55 mm,#a8b2c1,
Sony ILCE-7,23475376429,124375a7c1,653,1,1/200,1.8,3200,2015:12:11 23:12:35,55 mm,#13120a,
Sony ILCE-7,23843284305,4587707205,769,1,1/100,1.8,3200,2015:12:11 23:08:21,55 mm,#ae867c,
Sony ILCE-7,23760813141,1e6c506dec,584,1,1/250,2.2,1600,2015:12:11 22:57:16,55 mm,#066099,
Sony ILCE-7,23475383529,66106ae4fb,5696,6,1/100,1.8,3200,2015:12:11 22:35:01,55 mm,#b5867e,
Sony ILCE-7,23215183854,b52db3845b,5833,6,1/1000,1.8,200,2015:12:11 16:22:11,55 mm,#252525,
Sony ILCE-7,23760830841,1b7216b2af,690,1,1/500,3.5,200,2015:12:11 16:19:24,55 mm,#212a2f,
Sony ILCE-7,23843299325,ace1726e86,5789,6,1/160,7.1,200,2015:12:11 16:09:27,55 mm,#24251c,
Sony ILCE-7,23547588970,264cbf2685,650,1,1/160,7.1,200,2015:12:11 16:08:05,55 mm,#a5958a,
Sony ILCE-7,23843279905,00e14cf533,5627,6,1/160,7.1,200,2015:12:11 16:05:31,55 mm,#1c455b,
Sony ILCE-7,23734929702,a484c3392c,744,1,1/100,2.8,800,2015:12:08 16:58:24,55 mm,#8497a9,
Sony ILCE-7,23547627540,40c0fe637f,5812,6,1/100,1.8,800,2015:12:08 16:52:28,55 mm,#969db3,
Sony ILCE-7,23817223266,b60fc06469,5623,6,1/100,3.2,200,2015:12:08 16:05:45,55 mm,#b3877e,
Sony ILCE-7,22789983583,cfa81d5188,5717,6,1/640,2.5,640,2015:11:29 16:26:33,55 mm,#a9a096,
Sony ILCE-7,23334600381,e8fd6432cc,669,1,1/640,4.5,800,2015:11:29 16:24:21,55 mm,#ccd4d4,
Sony ILCE-7,23334590601,407b9693bb,661,1,1/100,1.8,1600,2015:11:21 15:25:34,55 mm,#0e0f0f,
Sony ILCE-7,23121373870,f422c81630,782,1,1/100,1.8,1600,2015:11:21 15:23:20,55 mm,#cb9a6b,
Sony ILCE-7,23049170449,049d611ca1,5654,6,1/125,1.8,320,2015:11:21 14:56:59,55 mm,#c4bc8d,
Sony ILCE-7,23308673342,b83331f02d,633,1,1/125,1.8,3200,2015:11:15 23:14:04,55 mm,#dcd7df,
Sony ILCE-7,23084372965,64b6d31887,649,1,1/60,1.8,3200,2015:11:07 22:09:19,55 mm,#ccad98,
Sony ILCE-7,22463126773,834dbf7e36,5706,6,1/160,1.8,3200,2015:11:07 19:45:36,55 mm,#0d0d0a,
Sony ILCE-7,22692073349,095495ac04,5739,6,1/80,1.8,1600,2015:11:07 19:21:15,55 mm,#bb866f,
Sony ILCE-7,22804433501,7f414372cc,5817,6,1/125,4.5,1250,2015:10:31 10:43:52,55 mm,#c0a487,
Sony ILCE-7,22459461396,7723551298,705,1,1/125,2,800,2015:10:25 12:34:28,55 mm,#13191c,
Sony ILCE-7,22051917010,87eba07d37,5816,6,1/50,1.8,320,2015:10:16 19:30:39,55 mm,#c19f7b,
Sony ILCE-7,21918206038,e10063d974,5830,6,1/3200,4.5,2000,2015:10:11 17:22:57,55 mm,#131518,
Sony ILCE-7,21985010801,4924745607,5672,6,1/320,null,200,2015:10:04 17:53:28,null,#cb9178,
Sony ILCE-7,24571988900,cb18d368ca,1667,2,1/60,null,1600,2015:09:26 19:46:52,null,#c3c3c3,
Sony ILCE-7,21697251565,2c3fb8e752,776,1,1/60,4,200,2015:09:23 18:15:44,55 mm,#2d2528,
Sony ILCE-7,21643644750,e1b6387b4e,658,1,1/640,1.8,1250,2015:09:23 18:02:27,55 mm,#b67e58,
Sony ILCE-7,21765538782,ca88740557,5656,6,1/250,1.8,200,2015:09:23 17:32:24,55 mm,#a6947c,
Sony ILCE-7,20968817743,e9c8ac61e0,762,1,1/1250,9,400,2015:09:16 17:04:07,55 mm,#c9c4c4,
Sony ILCE-7,21390359762,9e9af6c418,657,1,1/400,2.8,125,2015:09:12 15:02:21,55 mm,#c2c5cc,
Sony ILCE-7,21401163165,f6126b3678,5751,6,1/125,8,400,2015:09:10 09:46:16,55 mm,#c5b182,
Sony ILCE-7,21390284962,3d9e07fc19,5808,6,1/200,1.8,100,2015:09:10 09:23:12,55 mm,#b89989,
Sony ILCE-7,21210278115,6687db410a,5745,6,1/100,3.2,400,2015:09:04 13:55:35,55 mm,#9bb2b4,
Sony ILCE-7,21218190351,3603e3af35,744,1,1/100,1.8,6400,2015:09:03 13:46:08,55 mm,#8395d0,
Sony ILCE-7,20997918196,8f8cfc4c6a,739,1,1/8000,2.5,400,2015:08:25 18:40:51,55 mm,#16201b,
Canon EOS REBEL T3i,20488567509,85fa6845a6,572,1,1/640,1.8,200,2015:08:09 23:45:25,50 mm,#0c0f13,
Sony ILCE-7,20052758784,aa1c5616cd,5639,6,1/125,1.8,800,2015:07:31 15:38:17,55 mm,#979797,
Sony ILCE-7,24867453415,85c2afe09c,1659,2,1/800,1.8,800,2015:07:31 15:38:04,55 mm,#1b1b1b,
Sony ILCE-7,20052762314,d55615b112,601,1,1/80,1.8,1000,2015:06:26 19:32:11,55 mm,#c2c0c2,
Nikon D5000,25973615570,d479b45914,1565,2,1/500,null,200,2015:06:22 12:40:05,null,#283129,
Nikon D5000,25973626620,7c9cd623e5,1692,2,1/200,null,200,2015:06:20 19:27:30,null,#2c1f1c,
Nikon D5000,25641718024,de38590b5b,1515,2,1/200,null,200,2015:06:20 19:26:55,null,#cc6655,
Nikon D5000,26220566036,a3caf5ce81,1567,2,1/200,null,200,2015:06:17 19:50:29,null,#32291d,
Nikon D5000,25641710624,4cce09412b,1606,2,1/320,null,400,2015:06:16 19:44:49,null,#deccb9,
Nikon D5000,25643809733,4371065d5f,1581,2,1/640,null,400,2015:06:15 17:27:04,null,#d1c8c5,
Nikon D5000,25643811453,1668d688e3,1495,2,1/1000,null,400,2015:06:08 17:26:30,null,#d8c5ba,
Sony ILCE-7,18259831789,d46870bd0e,8860,9,1/100,1.8,1600,2015:05:24 18:17:51,55 mm,#0f1316,
Sony ILCE-7,18258187078,96146dcaea,8861,9,1/125,2.2,800,2015:05:24 14:59:41,55 mm,#b7bdc7,
Sony ILCE-7,18258294240,3730f79528,8875,9,1/2000,1.8,800,2015:05:22 17:20:16,55 mm,#918683,
Sony ILCE-7,18953569146,382a61ee03,442,1,1/500,2.2,100,2015:05:09 18:47:22,55 mm,#dadbce,
Sony ILCE-7,17314327352,7a44beaa4b,7796,8,1/1600,3.2,200,2015:03:27 10:50:57,55 mm,#96807f,
Sony ILCE-7,17128603490,9fb0399674,8739,9,1/1600,3.5,200,2015:03:27 10:23:11,55 mm,#e3960f,
Sony ILCE-7,17129954089,0f7b0317d4,7690,8,1/5000,3.5,200,2015:03:27 10:19:30,55 mm,#1c1911,
Sony ILCE-7,17108714587,ec936040c4,7796,8,1/4000,4,200,2015:03:27 10:02:31,55 mm,#b9bbc8,
Sony ILCE-7,17108710827,e1416af8c1,8776,9,1/80,1.8,3200,2015:03:25 18:34:59,55 mm,#68546c,
Sony ILCE-7,16695897463,02955cdbe7,7741,8,1/160,1.8,200,2015:03:25 15:25:30,55 mm,#aba1b2,
Sony ILCE-7,17290197296,1e28581c80,8806,9,1/500,2.5,200,2015:03:25 14:49:31,55 mm,#b3ada2,
Sony ILCE-7,18793701909,4bf5b51867,524,1,1/200,3.2,800,2015:03:21 17:16:17,55 mm,#bcbcbc,
Sony ILCE-7,18892626319,8c8483e4a1,538,1,1/1000,2.2,100,2015:03:20 16:41:22,55 mm,#a9b0b2,
Sony ILCE-7,16407857429,1f3a55cd5e,8569,9,1/2000,4,400,2015:02:19 16:05:36,55 mm,#c8d4c7,fourth
Sony ILCE-7,16406496758,da215540f1,7417,8,1/80,1.8,1000,2015:02:19 01:53:39,55 mm,#dd7938,fourth
Sony ILCE-7,16406691590,d6798e0e8c,7414,8,1/160,1.8,1600,2015:02:07 17:09:23,55 mm,#0593e1,fourth
Sony ILCE-7,15829897004,1877b8d2d7,8662,9,1/1250,1.8,400,2015:02:01 10:33:44,55 mm,#b4b4b4,fourth
Sony ILCE-7,16451473112,8b5eb6b847,7389,8,1/200,1.8,5000,2015:01:31 18:28:22,55 mm,#c18062,fourth
Sony ILCE-7,16452428755,f1fcaf2e8b,7329,8,1/320,8,100,2015:01:25 16:07:48,55 mm,#24332d,fourth
Sony ILCE-7,16264735848,95b3517007,8580,9,1/125,1.8,2500,2015:01:24 18:30:42,55 mm,#9ca9b3,fourth
Sony ILCE-7,15730602343,443a4cf799,8608,9,1/100,1.8,1600,2015:01:16 14:58:52,55 mm,#c2a995,fourth
Sony ILCE-7,16163194330,63a697efe7,7557,8,1/160,3.5,100,2015:01:11 16:15:33,55 mm,#dad9db,fourth
Sony ILCE-7,15730605963,2b3f3ec6a8,7483,8,1/125,1.8,1600,2015:01:10 19:12:24,55 mm,#110f0f,fourth
Sony ILCE-7,16350778565,8021b11df7,7542,8,2.5,null,200,2015:01:01 22:53:55,null,#c59782,fourth
Sony ILCE-7,15939506480,7b515f9a52,7559,8,1/125,1.8,2000,2014:12:17 22:41:13,55 mm,#a57145,fourth
Sony ILCE-7,15939508520,a3a1dbf0d2,7514,8,1/500,3.5,100,2014:12:09 09:19:09,55 mm,#d4dee8,fourth
Sony ILCE-7,16126071972,b669235bac,7517,8,1/320,6.3,200,2014:12:05 15:56:44,55 mm,#252018,fourth
Sony ILCE-7,15939378898,e8d534b3bc,7568,8,1/160,4.5,1600,2014:12:04 14:09:35,55 mm,#15150b,fourth
Sony ILCE-7,15759336780,909544c587,7554,8,1/160,2.5,200,2014:11:27 16:26:33,55 mm,#8090a2,fourth
Sony ILCE-7,15759339010,afd21b6a33,7577,8,1/640,1.8,400,2014:11:21 15:13:04,55 mm,#0e0d0a,fourth
Sony ILCE-7,15799115842,6a6f6473f7,7479,8,1/200,5.6,200,2014:11:06 16:38:35,55 mm,#c1b48f,fourth
Sony ILCE-7,15502905039,d1e09d17c5,3942,4,1/320,2.8,800,2014:11:01 13:25:04,55 mm,#c4bfae,fourth
Sony ILCE-7,15502825789,d6948ee832,3953,4,1/125,4,400,2014:10:31 17:09:33,55 mm,#0d0908,fourth
Sony ILCE-7,15690293482,a5d4806495,7484,8,1/160,1.8,800,2014:10:30 17:38:42,55 mm,#111829,fourth
Sony ILCE-7,15688687885,cf8f5336e9,7484,8,1/400,2.5,400,2014:10:29 13:35:23,55 mm,#a58a71,fourth
Sony ILCE-7,15686779631,48c70f676c,7479,8,1/60,1.8,640,2014:10:28 18:44:02,55 mm,#c1b6a6,fourth
Sony ILCE-7,15503500937,9a58a22fc0,3944,4,1/100,1.8,400,2014:10:27 12:25:22,55 mm,#293439,fourth
Sony ILCE-7,15069341433,ef6c3a384d,3948,4,1/80,5.6,200,2014:10:26 15:48:31,55 mm,#c0b3a4,fourth
Sony ILCE-7,15503505797,d454887dd0,7491,8,1/50,5.6,200,2014:10:25 11:20:47,55 mm,#bfbba8,fourth
Sony ILCE-7,15009424894,c6a69e932a,5614,6,1/250,9,500,2014:10:24 16:01:37,55 mm,#2f372f,fourth
Sony ILCE-7,15631035452,b1dc902ca2,5604,6,1/100,2,1600,2014:10:23 18:32:05,55 mm,#c48a60,fourth
Sony ILCE-7,15009431774,70f6b32e9a,5612,6,1/100,1.8,400,2014:10:22 22:42:35,55 mm,#c39753,fourth
Sony ILCE-7,15630203085,d02b30a45d,3952,4,1/4000,1.8,1600,2014:10:21 17:30:35,55 mm,#b75480,fourth
Sony ILCE-7,15393958247,c953aca14e,3932,4,1/125,2,800,2014:10:19 16:31:40,55 mm,#15201f,fourth
Sony ILCE-7,15393348619,b11760b270,5613,6,1/500,4,200,2014:10:18 15:38:24,55 mm,#b6ab98,fourth
Sony ILCE-7,15393416249,ee2e7e769d,3951,4,1/2000,1.8,1600,2014:10:17 19:14:19,55 mm,#c5a17d,fourth
Sony ILCE-7,15393849838,b889ec2224,5612,6,1/50,1.8,1600,2014:10:16 22:08:35,55 mm,#808686,fourth
Sony ILCE-7,15580824932,398afb7e9d,5612,6,1/4000,2.8,400,2014:10:15 15:58:42,55 mm,#bfa79f,fourth
Sony ILCE-7,15537814371,4107f12246,5616,6,1/160,2.2,800,2014:10:14 19:11:14,55 mm,#0f1d2c,fourth
Sony ILCE-7,15516803756,599ecc53bd,3929,4,1/160,2.2,800,2014:10:13 18:56:27,55 mm,#b27d71,fourth
Sony ILCE-7,14920329423,e52a7d81ab,3943,4,1/125,1.8,1000,2014:10:12 17:52:32,55 mm,#bfaf8c,fourth
Sony ILCE-7,15354496287,4ac93b70e7,5602,6,1/160,2,400,2014:10:11 22:24:26,55 mm,#cbcaca,fourth
Sony ILCE-7,15537819251,6fa610e3fc,3936,4,1/160,2.8,320,2014:10:10 18:00:40,55 mm,#b8a597,fourth
Sony ILCE-7,15353891969,37bb1d985f,3930,4,1/100,4.5,200,2014:10:09 07:58:17,55 mm,#c4b09d,fourth
Sony ILCE-7,15353892539,3a2aed8c83,5608,6,1/640,1.8,3200,2014:10:08 22:05:39,55 mm,#1d1b18,fourth
Sony ILCE-7,15288886607,9dbb0eb9f8,3945,4,1/100,2,800,2014:10:07 14:03:22,55 mm,#c0c1c0,fourth
Sony ILCE-7,15288889417,76a28afe46,5602,6,1/200,2.2,1600,2014:10:06 18:35:58,55 mm,#afa9a7,fourth
Sony ILCE-7,15452374056,edeb1100fe,3944,4,1/125,1.8,1600,2014:10:05 20:01:26,55 mm,#bdc3ac,fourth
Sony ILCE-7,15475467735,94c26018f7,2946,3,1/100,2.5,800,2014:10:04 19:51:37,55 mm,#b1ae9d,fourth
Sony ILCE-7,15247584170,df47cf3640,3930,4,1/125,2,800,2014:10:03 18:21:05,55 mm,#b28f79,fourth
Sony ILCE-7,15431104121,eb69fa8e0d,3933,4,1/160,2.8,800,2014:10:02 15:20:26,55 mm,#8ca0a0,fourth
Sony ILCE-7,15247586400,f1bf36460d,5601,6,1/125,8,800,2014:10:01 22:11:47,55 mm,#232e32,fourth
Sony ILCE-7,15221951858,ef67b6d9b8,2950,3,1/160,2.5,1250,2014:09:30 18:10:38,55 mm,#b7b3a8,fourth
Sony ILCE-7,15408221012,97a1c7b0ca,3930,4,1/100,1.8,1600,2014:09:29 20:11:26,55 mm,#caac7d,fourth
Sony ILCE-7,15211096239,1f6e53cd4d,2949,3,1/400,10,100,2014:09:27 14:38:53,55 mm,#0f1414,fourth
Sony ILCE-7,15993522068,ccc4de8d0a,7561,8,1/100,null,200,2014:09:26 15:50:02,null,#b5b7b8,fourth
Sony ILCE-7,15521749987,527eec43bd,5608,6,1/100,null,200,2014:09:26 15:48:05,null,#b6b8b8,fourth
Sony ILCE-7,15561103483,722c0f052b,7462,8,1/400,null,200,2014:09:26 09:33:45,null,#c7c9c9,fourth
Sony ILCE-7,15086994504,26d41bdebc,3953,4,1/160,3.5,200,2014:09:26 06:39:11,55 mm,#2d221f,fourth
Sony ILCE-7,15521747937,28834a206c,3942,4,1/80,3.5,800,2014:09:26 06:12:25,55 mm,#545454,fourth
Sony ILCE-7,16180125692,cbed70551a,8664,9,1/60,5.6,800,2014:09:26 06:05:09,55 mm,#121417,fourth
Sony ILCE-7,15995090527,9daab51fc4,8592,9,1/100,5.6,800,2014:09:26 05:58:42,55 mm,#141d1d,fourth
Sony ILCE-7,16155086036,057837f517,8657,9,1/100,1.8,2000,2014:09:26 05:55:50,55 mm,#7a7f8a,fourth
Sony ILCE-7,15211345827,611ab7cb6c,3835,4,1/125,2.2,3200,2014:09:26 05:50:45,55 mm,#9792a4,fourth
Sony ILCE-7,15995090097,8ee8bf4c50,7526,8,1/100,1.8,6400,2014:09:26 05:43:10,55 mm,#9f9f9f,fourth
Sony ILCE-7,15211351977,78a2eecbf0,3886,4,1/2000,4.5,200,2014:09:25 15:45:07,55 mm,#231a10,fourth
Sony ILCE-7,15086992494,def11103d2,7486,8,1/1000,8,200,2014:09:25 13:00:11,55 mm,#cac8ca,fourth
Sony ILCE-7,15521054039,be9079df42,7538,8,1/400,5.6,200,2014:09:25 12:04:55,55 mm,#3f3c32,fourth
Sony ILCE-7,16155097696,efb723a3ae,8577,9,1/1250,1.8,1600,2014:09:24 21:07:07,55 mm,#12130f,fourth
Sony ILCE-7,15521732297,8370e12b9c,3951,4,1/250,1.8,1600,2014:09:24 21:04:50,55 mm,#0c0c06,fourth
Sony ILCE-7,15521539298,b84ed46721,7520,8,1/100,1.8,4000,2014:09:24 20:01:09,55 mm,#a88764,fourth
Sony ILCE-7,15994836539,45116cc95e,8612,9,1/80,1.8,4000,2014:09:24 19:59:22,55 mm,#82684a,fourth
Sony ILCE-7,15558543314,d73e8af525,7548,8,1/80,1.8,4000,2014:09:24 19:59:20,55 mm,#805f46,fourth
Sony ILCE-7,15397868455,26a4740da7,3839,4,1/125,1.8,12800,2014:09:24 19:58:10,55 mm,#ba8546,fourth
Sony ILCE-7,15521067789,e16de6774b,7500,8,1/800,1.8,800,2014:09:24 16:38:00,55 mm,#282828,fourth
Sony ILCE-7,15522091770,47e0055da1,3939,4,1/200,10,200,2014:09:24 12:07:43,55 mm,#a6a0a3,fourth
Sony ILCE-7,15708692462,39f8360dd3,7526,8,1/400,8,400,2014:09:24 12:05:52,55 mm,#a3b1b9,fourth
Sony ILCE-7,15706939575,ea96f6b4e7,7470,8,1/100,1.8,2000,2014:09:23 21:51:41,55 mm,#c2b6b7,fourth
Sony ILCE-7,15521535728,930a47e585,3956,4,1/100,5,200,2014:09:23 12:03:03,55 mm,#c1c5a3,fourth
Sony ILCE-7,15374850216,158793d65f,2941,3,1/60,5,400,2014:09:23 11:16:23,55 mm,#dad0d4,fourth
Sony ILCE-7,15561229343,9d4b0284c0,7529,8,1/125,4.5,400,2014:09:23 11:11:30,55 mm,#beb2b2,fourth
Sony ILCE-7,16180893065,1eb3ed0bbe,7491,8,1/500,4,1000,2014:09:23 11:09:32,55 mm,#bab7bd,fourth
Sony ILCE-7,15521057529,736c404200,3954,4,1/125,2,800,2014:09:22 17:42:07,55 mm,#ac9d77,fourth
Sony ILCE-7,15521535128,a0f04a73de,3955,4,1/80,1.8,3200,2014:09:22 16:13:53,55 mm,#221815,fourth
Sony ILCE-7,15708507302,8d5035185e,7583,8,1/2000,1.8,400,2014:09:22 15:19:30,55 mm,#151b17,fourth
