"camera","id","secret","server","farm","exposure","aperture","iso","date-taken","focal-length","color","daily-project-active","color2"
"Sony ILCE-7","18258294240","3730f79528","8875","9","1/1/2000","1.8","800","2015:05:22 17:20:16","null","#889844","","#918683"
"Sony ILCE-7","18892626319","8c8483e4a1","538","1","1/1/1000","2.2","100","2015:03:20 16:41:22","null","#2ad4d4","","#a9b0b2"
"Sony ILCE-7","17129954089","0f7b0317d4","7690","8","1/1/5000","3.5","200","2015:03:27 10:19:30","null","#d47f2a","","#1c1911"
"Sony ILCE-7","18953569146","382a61ee03","442","1","1/500","2.2","100","2015:05:09 18:47:22","null","#b19a49","","#dadbce"
"Sony ILCE-7","16695897463","02955cdbe7","7741","8","1/160","1.8","200","2015:03:25 15:25:30","null","#4c6eb2","","#aba1b2"
"Sony ILCE-7","17108714587","ec936040c4","7796","8","1/1/4000","4","200","2015:03:27 10:02:31","null","#943ca4","","#b9bbc8"
"Sony ILCE-7","17314327352","7a44beaa4b","7796","8","1/1/1600","3.2","200","2015:03:27 10:50:57","null","#3f3fbf","","#96807f"
"Sony ILCE-7","17128603490","9fb0399674","8739","9","1/1/1600","3.5","200","2015:03:27 10:23:11","null","#e98604","","#e3960f"
"Sony ILCE-7","17290197296","1e28581c80","8806","9","1/500","2.5","200","2015:03:25 14:49:31","null","#376890","","#b3ada2"
"Sony ILCE-7","18793701909","4bf5b51867","524","1","1/200","3.2","800","2015:03:21 17:16:17","null","#4cb8bc","","#bcbcbc"
"Sony ILCE-7","17108710827","e1416af8c1","8776","9","1/80","1.8","3200","2015:03:25 18:34:59","null","#bfbf3f","","#68546c"
"Sony ILCE-7","16407857429","1f3a55cd5e","8569","9","1/1/2000","4","400","2015:02:19 16:05:36","null","#a7bc42","fourth","#c8d4c7"
"Sony ILCE-7","16406691590","d6798e0e8c","7414","8","1/160","1.8","1600","2015:02:07 17:09:23","null","#049fe7","fourth","#0593e1"
"Sony ILCE-7","15730602343","443a4cf799","8608","9","1/100","1.8","1600","2015:01:16 14:58:52","null","#995635","fourth","#c2a995"
"Sony ILCE-7","16452428755","f1fcaf2e8b","7329","8","1/320","8","100","2015:01:25 16:07:48","null","#c87cc8","fourth","#24332d"
"Sony ILCE-7","16406496758","da215540f1","7417","8","1/80","1.8","1000","2015:02:19 01:53:39","null","#f38232","fourth","#dd7938"
"Sony ILCE-7","16451473112","8b5eb6b847","7389","8","1/200","1.8","5000","2015:01:31 18:28:22","null","#e97829","fourth","#c18062"
"Sony ILCE-7","15829897004","1877b8d2d7","8662","9","1/1/1250","1.8","400","2015:02:01 10:33:44","null","#44b4b8","fourth","#b4b4b4"
"Sony ILCE-7","15730605963","2b3f3ec6a8","7483","8","1/125","1.8","1600","2015:01:10 19:12:24","null","#d46e17","fourth","#110f0f"
"Sony ILCE-7","16264735848","95b3517007","8580","9","1/125","1.8","2500","2015:01:24 18:30:42","null","#972920","fourth","#9ca9b3"
"Sony ILCE-7","16163194330","63a697efe7","7557","8","1/160","3.5","100","2015:01:11 16:15:33","null","#2e79b0","fourth","#dad9db"
"Sony ILCE-7","15759336780","909544c587","7554","8","1/160","2.5","200","2014:11:27 16:26:33","null","#2a7fd4","fourth","#8090a2"
"Sony ILCE-7","15939378898","e8d534b3bc","7568","8","1/160","4.5","1600","2014:12:04 14:09:35","null","#ac5444","fourth","#15150b"
"Sony ILCE-7","16350778565","8021b11df7","7542","8","2.5","null","200","2015:01:01 22:53:55","null","#bc3c34","fourth","#c59782"
"Sony ILCE-7","15939506480","7b515f9a52","7559","8","1/125","1.8","2000","2014:12:17 22:41:13","null","#a81850","fourth","#a57145"
"Sony ILCE-7","15759339010","afd21b6a33","7577","8","1/640","1.8","400","2014:11:21 15:13:04","null","#d2692d","fourth","#0e0d0a"
"Sony ILCE-7","15939508520","a3a1dbf0d2","7514","8","1/500","3.5","100","2014:12:09 09:19:09","null","#44c0a8","fourth","#d4dee8"
"Sony ILCE-7","16126071972","b669235bac","7517","8","1/320","6.3","200","2014:12:05 15:56:44","null","#3c34a0","fourth","#252018"
"Sony ILCE-7","15502825789","d6948ee832","3953","4","1/125","4","400","2014:10:31 17:09:33","null","#bb6c54","fourth","#0d0908"
"Sony ILCE-7","15502905039","d1e09d17c5","3942","4","1/320","2.8","800","2014:11:01 13:25:04","null","#4474a4","fourth","#c4bfae"
"Sony ILCE-7","15799115842","6a6f6473f7","7479","8","1/200","5.6","200","2014:11:06 16:38:35","null","#9f7834","fourth","#c1b48f"
"Sony ILCE-7","15686779631","48c70f676c","7479","8","1/60","1.8","640","2014:10:28 18:44:02","null","#4c94bc","fourth","#c1b6a6"
"Sony ILCE-7","15690293482","a5d4806495","7484","8","1/160","1.8","800","2014:10:30 17:38:42","null","#123998","fourth","#111829"
"Sony ILCE-7","15688687885","cf8f5336e9","7484","8","1/400","2.5","400","2014:10:29 13:35:23","null","#9c643c","fourth","#a58a71"
"Sony ILCE-7","15503500937","9a58a22fc0","3944","4","1/100","1.8","400","2014:10:27 12:25:22","null","#e8df6a","fourth","#293439"
"Sony ILCE-7","15009431774","70f6b32e9a","5612","6","1/100","1.8","400","2014:10:22 22:42:35","null","#b78738","fourth","#c39753"
"Sony ILCE-7","15069341433","ef6c3a384d","3948","4","1/80","5.6","200","2014:10:26 15:48:31","null","#906244","fourth","#c0b3a4"
"Sony ILCE-7","15009424894","c6a69e932a","5614","6","1/250","9","500","2014:10:24 16:01:37","null","#242ca8","fourth","#2f372f"
"Sony ILCE-7","15503505797","d454887dd0","7491","8","1/50","5.6","200","2014:10:25 11:20:47","null","#0dab68","fourth","#bfbba8"
"Sony ILCE-7","15631035452","b1dc902ca2","5604","6","1/100","2","1600","2014:10:23 18:32:05","null","#db8108","fourth","#c48a60"
"Sony ILCE-7","15630203085","d02b30a45d","3952","4","1/1/4000","1.8","1600","2014:10:21 17:30:35","null","#ac1528","fourth","#b75480"
"Sony ILCE-7","15393958247","c953aca14e","3932","4","1/125","2","800","2014:10:19 16:31:40","null","#8c7c2c","fourth","#15201f"
"Sony ILCE-7","15393348619","b11760b270","5613","6","1/500","4","200","2014:10:18 15:38:24","null","#a47d25","fourth","#b6ab98"
"Sony ILCE-7","15393416249","ee2e7e769d","3951","4","1/1/2000","1.8","1600","2014:10:17 19:14:19","null","#9a632d","fourth","#c5a17d"
"Sony ILCE-7","15393849838","b889ec2224","5612","6","1/50","1.8","1600","2014:10:16 22:08:35","null","#887038","fourth","#808686"
"Sony ILCE-7","15516803756","599ecc53bd","3929","4","1/160","2.2","800","2014:10:13 18:56:27","null","#c23417","fourth","#b27d71"
"Sony ILCE-7","14920329423","e52a7d81ab","3943","4","1/125","1.8","1000","2014:10:12 17:52:32","null","#8c5414","fourth","#bfaf8c"
"Sony ILCE-7","15353891969","37bb1d985f","3930","4","1/100","4.5","200","2014:10:09 07:58:17","null","#d47f2a","fourth","#c4b09d"
"Sony ILCE-7","15354496287","4ac93b70e7","5602","6","1/160","2","400","2014:10:11 22:24:26","null","#347860","fourth","#cbcaca"
"Sony ILCE-7","15580824932","398afb7e9d","5612","6","1/1/4000","2.8","400","2014:10:15 15:58:42","null","#a95d4b","fourth","#bfa79f"
"Sony ILCE-7","15353892539","3a2aed8c83","5608","6","1/640","1.8","3200","2014:10:08 22:05:39","null","#a6622a","fourth","#1d1b18"
"Sony ILCE-7","15537819251","6fa610e3fc","3936","4","1/160","2.8","320","2014:10:10 18:00:40","null","#733f28","fourth","#b8a597"
"Sony ILCE-7","15537814371","4107f12246","5616","6","1/160","2.2","800","2014:10:14 19:11:14","null","#b69363","fourth","#0f1d2c"
"Sony ILCE-7","15288886607","9dbb0eb9f8","3945","4","1/100","2","800","2014:10:07 14:03:22","null","#348898","fourth","#c0c1c0"
"Sony ILCE-7","15288889417","76a28afe46","5602","6","1/200","2.2","1600","2014:10:06 18:35:58","null","#5ccc9c","fourth","#afa9a7"
"Sony ILCE-7","15211096239","1f6e53cd4d","2949","3","1/400","10","100","2014:09:27 14:38:53","null","#045a9e","fourth","#0f1414"
"Sony ILCE-7","15221951858","ef67b6d9b8","2950","3","1/160","2.5","1250","2014:09:30 18:10:38","null","#b6964c","fourth","#b7b3a8"
"Sony ILCE-7","15247584170","df47cf3640","3930","4","1/125","2","800","2014:10:03 18:21:05","null","#1049b5","fourth","#b28f79"
"Sony ILCE-7","15247586400","f1bf36460d","5601","6","1/125","8","800","2014:10:01 22:11:47","null","#90bc48","fourth","#232e32"
"Sony ILCE-7","15408221012","97a1c7b0ca","3930","4","1/100","1.8","1600","2014:09:29 20:11:26","null","#ccac20","fourth","#caac7d"
"Sony ILCE-7","15452374056","edeb1100fe","3944","4","1/125","1.8","1600","2014:10:05 20:01:26","null","#2c94ac","fourth","#bdc3ac"
"Sony ILCE-7","15475467735","94c26018f7","2946","3","1/100","2.5","800","2014:10:04 19:51:37","null","#ac7e3d","fourth","#b1ae9d"
"Sony ILCE-7","15993522068","ccc4de8d0a","7561","8","1/100","null","200","2014:09:26 15:50:02","null","#949c38","fourth","#b5b7b8"
"Sony ILCE-7","15561103483","722c0f052b","7462","8","1/400","null","200","2014:09:26 09:33:45","null","#d42a2a","fourth","#c7c9c9"
"Sony ILCE-7","15521749987","527eec43bd","5608","6","1/100","null","200","2014:09:26 15:48:05","null","#9c9834","fourth","#b6b8b8"
"Sony ILCE-7","15995090527","9daab51fc4","8592","9","1/100","5.6","800","2014:09:26 05:58:42","null","#703068","fourth","#141d1d"
"Sony ILCE-7","16155086036","057837f517","8657","9","1/100","1.8","2000","2014:09:26 05:55:50","null","#0e83f0","fourth","#7a7f8a"
"Sony ILCE-7","15431104121","eb69fa8e0d","3933","4","1/160","2.8","800","2014:10:02 15:20:26","null","#755a2c","fourth","#8ca0a0"
"Sony ILCE-7","15521747937","28834a206c","3942","4","1/80","3.5","800","2014:09:26 06:12:25","null","#acb038","fourth","#545454"
"Sony ILCE-7","15086994504","26d41bdebc","3953","4","1/160","3.5","200","2014:09:26 06:39:11","null","#88bcc8","fourth","#2d221f"
"Sony ILCE-7","15211345827","611ab7cb6c","3835","4","1/125","2.2","3200","2014:09:26 05:50:45","null","#bfbf3f","fourth","#9792a4"
"Sony ILCE-7","16180125692","cbed70551a","8664","9","1/60","5.6","800","2014:09:26 06:05:09","null","null","fourth","#121417"
"Sony ILCE-7","15995090097","8ee8bf4c50","7526","8","1/100","1.8","6400","2014:09:26 05:43:10","null","#7c3480","fourth","#9f9f9f"
"Sony ILCE-7","15211351977","78a2eecbf0","3886","4","1/1/2000","4.5","200","2014:09:25 15:45:07","null","#2c546e","fourth","#231a10"
"Sony ILCE-7","15521054039","be9079df42","7538","8","1/400","5.6","200","2014:09:25 12:04:55","null","#92b24c","fourth","#3f3c32"
"Sony ILCE-7","15086992494","def11103d2","7486","8","1/1/1000","8","200","2014:09:25 13:00:11","null","#945c44","fourth","#cac8ca"
"Sony ILCE-7","16155097696","efb723a3ae","8577","9","1/1/1250","1.8","1600","2014:09:24 21:07:07","null","#c56055","fourth","#12130f"
"Sony ILCE-7","15397868455","26a4740da7","3839","4","1/125","1.8","12800","2014:09:24 19:58:10","null","#c48329","fourth","#ba8546"
"Sony ILCE-7","15521732297","8370e12b9c","3951","4","1/250","1.8","1600","2014:09:24 21:04:50","null","#b5724e","fourth","#0c0c06"
"Sony ILCE-7","15994836539","45116cc95e","8612","9","1/80","1.8","4000","2014:09:24 19:59:22","null","#946c39","fourth","#82684a"
"Sony ILCE-7","15521539298","b84ed46721","7520","8","1/100","1.8","4000","2014:09:24 20:01:09","null","#b45404","fourth","#a88764"
"Sony ILCE-7","15558543314","d73e8af525","7548","8","1/80","1.8","4000","2014:09:24 19:59:20","null","#946040","fourth","#805f46"
"Sony ILCE-7","15708692462","39f8360dd3","7526","8","1/400","8","400","2014:09:24 12:05:52","null","#6c6231","fourth","#a3b1b9"
"Sony ILCE-7","15521067789","e16de6774b","7500","8","1/800","1.8","800","2014:09:24 16:38:00","null","#c85ccc","fourth","#282828"
"Sony ILCE-7","15706939575","ea96f6b4e7","7470","8","1/100","1.8","2000","2014:09:23 21:51:41","null","#944c14","fourth","#c2b6b7"
"Sony ILCE-7","15522091770","47e0055da1","3939","4","1/200","10","200","2014:09:24 12:07:43","null","#8c2894","fourth","#a6a0a3"
"Sony ILCE-7","15521535128","a0f04a73de","3955","4","1/80","1.8","3200","2014:09:22 16:13:53","null","#ae7650","fourth","#221815"
"Sony ILCE-7","16180893065","1eb3ed0bbe","7491","8","1/500","4","1000","2014:09:23 11:09:32","null","#7cad51","fourth","#bab7bd"
"Sony ILCE-7","15521535728","930a47e585","3956","4","1/100","5","200","2014:09:23 12:03:03","null","#8ebd41","fourth","#c1c5a3"
"Sony ILCE-7","15374850216","158793d65f","2941","3","1/60","5","400","2014:09:23 11:16:23","null","#8a7440","fourth","#dad0d4"
"Sony ILCE-7","15521057529","736c404200","3954","4","1/125","2","800","2014:09:22 17:42:07","null","#a46824","fourth","#ac9d77"
"Sony ILCE-7","15561229343","9d4b0284c0","7529","8","1/125","4.5","400","2014:09:23 11:11:30","null","#6c4434","fourth","#beb2b2"
"Sony ILCE-7","15708507302","8d5035185e","7583","8","1/1/2000","1.8","400","2014:09:22 15:19:30","null","#acac52","fourth","#151b17"
"Sony ILCE-7","15086986304","b092f7c27a","7563","8","1/1/2500","3.5","200","2014:09:22 11:16:32","null","#b4a034","fourth","#272122"
"Sony ILCE-7","15374856806","589b0d7054","3915","4","1/160","9","200","2014:09:22 08:13:23","null","#40c078","fourth","#2d2f2d"
"Sony ILCE-7","15284847122","2d0bd8bc8b","2941","3","1/100","2.2","200","2014:09:18 16:15:14","null","#c8c488","fourth","#1e1d1d"
"Panasonic DMC-GH3","15108408298","d8c145bc3a","3878","4","1/1/1250","6.3","400","2014:09:19 10:35:32","null","#a13c39","fourth","#2c2d21"
"Sony ILCE-7","15397572142","b3fa4d3fa0","3859","4","1/160","1.8","3200","2014:09:20 19:16:18","null","#b00e18","fourth","#130b0d"
"Sony ILCE-7","15086983114","182c6bacd5","7474","8","1/100","1.8","1600","2014:09:21 15:34:45","null","#8844bc","fourth","#d8d5d8"
"Sony ILCE-7","15211978058","c2c361d253","3890","4","1/160","5","400","2014:09:21 16:38:34","null","#a27a40","fourth","#c7a98f"
"Sony ILCE-7","15088878879","c781c861f6","5554","6","1/40","2","800","2014:09:17 18:21:08","null","#b46c3c","fourth","#c8b8aa"
"Sony ILCE-7","15078650650","93b8f05a0c","3903","4","1/160","2.2","1000","2014:09:16 21:31:51","null","#a4643c","fourth","#3e342c"
"Sony ILCE-7","15262257981","04598a7cf1","3863","4","1/80","2.2","1600","2014:09:16 21:28:56","null","#a06b32","fourth","#1d201e"
"Sony ILCE-7","15231801492","3eb60a5a70","3872","4","1/100","1.8","1000","2014:09:13 21:07:09","null","#e4bc3c","fourth","#282c39"
